conversation_id,key_issue,key_resolution
1602,Incomplete ingredient lists on website.,No resolution provided; issue was incomplete ingredient listings on website.
1603,Price inquiry/discount availability.,BOGO half-price offer confirmed.
1604,"Damaged delivery, broken items.","Replacement items sent, shipping refunded."
1605,Felt discriminated against by staff member's actions.,Issue reported; store manager notified.
1606,Incorrect order fulfillment (short shipment).,Missing collagen sachets to be sent; discount voucher added.
1607,Incorrect order fulfillment.,Incorrect order received; correct item to be sent.
1608,Missing order notification.,Order ready for collection; notification issue resolved.
1609,Seeking menopause supplement advice for mood swings.,"Supplement recommendations (St. John's Wort, Omega-3s) with healthcare provider consultation advised."
1610,Store closed early due to staff shortage.,Staff shortage caused early closure.
1611,Lack of promised follow-up call after allergic reaction.,Issue escalated; callback promised within 24 hours.
1612,Incomplete order received.,Missing items reshipped.
1613,Vegan protein powder nutritional information.,Provided nutritional information confirming vegan suitability.
1614,Coupon code ineligible for cart items.,Coupon code not applicable to cart items.
1615,Product recommendation request.,Product recommendation: Holland & Barrett Omega-3 Fish Oil.
1616,Complimenting store cleanliness.,Positive feedback; no issue requiring resolution.
1617,Incorrect order fulfillment.,Incorrect order received; correct item will be made available for collection.
1618,Delayed order.,Order expedited; expected delivery in 2 days.
1619,Positive feedback on helpful staff.,Positive feedback; no issue resolution needed.
1620,Excessive packaging.,Feedback provided; no resolution needed.
1621,Ineffective glucosamine supplement.,Recommended Glucosamine & Chondroitin Complex.
1622,Incomplete order fulfillment.,Partial order refund issued.
1623,Racial discrimination by staff.,Investigation launched into reported racism.
1624,Menopause symptom relief (natural supplements).,Recommended Maca Root and Ginseng supplements; confirmed availability at South Shields store.
1625,Order cancellation.,"Order cancelled, refund issued."
1626,Ineffective CBD oil.,Suggested trying a different product (CBD capsules).
1627,Received wrong item in online order.,"Wrong item shipped; correct item sent, Vitamin B12 given as compensation."
1628,Incomplete click and collect order.,Missing item in transit; will arrive tomorrow.
1629,Poor customer service at Serpentine Peterborough store.,Issue escalated to store manager.
1630,Order processing delay.,Order delay explained; shipment within 48 hours.
1631,Ineffective Echinacea drops.,Refund issued.
1632,Delayed order.,"Order delayed, now dispatched."
1633,Unhelpful staff at High St store.,Issue escalated to store manager.
1634,Order processing delay.,Order expedited; account discount given.
1635,Expressing appreciation for promotions.,Positive feedback; no issue resolution needed.
1636,Return of unopened supplements.,Return policy confirmed; 30-day window for unopened items.
1637,Late order delivery.,"Delivery delayed, 15% discount offered for next purchase."
1638,Unreceived order.,Re-shipped order.
1639,Missing order.,"Order expedited, 10% discount offered."
1640,Discontinued product.,Feedback forwarded to product team; alternative products offered.
1641,Positive feedback on fast delivery.,Positive feedback on fast delivery.
1642,Incorrect product description/Non-chewable tablets received.,Refund issued for incorrect product description.
1643,Damaged and incorrect orders; slow replacements.,"Replacements ordered, discount offered."
1644,Positive feedback on Chertsey store.,Positive feedback given; no issue to resolve.
1645,Expired supplements; lack of follow-up.,Replacement of expired supplements.
1646,Poorly organized gluten-free section.,Feedback relayed to store manager.
1647,Positive feedback on King's Road store.,Positive feedback provided; no resolution needed.
1648,Double charge on order.,Duplicate charge refunded.
1649,Positive feedback on staff knowledge and service.,Positive feedback; no issue requiring resolution.
1650,Order not dispatched.,"Order cancelled, refund initiated."
1651,Excessive packaging.,Feedback noted; packaging optimization underway.
1652,Order processing delay.,Order delayed due to stock issues; expected dispatch in a few days.
1653,Incorrect order fulfillment (wrong flavor of protein bars).,"Incorrect flavor received; correct flavor sent, chocolate bars kept."
1654,Off-tasting almond butter.,Replacement almond butter sent.
1655,Delayed vitamin order.,Shipping delay explained; order arriving in 1-2 days.
1656,Price increase of Probiotic capsules.,Enrolled in loyalty program.
1657,Positive feedback on Leeds store staff.,Positive feedback on Leeds store staff.
1658,Click and collect order not fulfilled.,20% discount offered for incorrect stock information.
1659,Incorrect order quantity.,Missing 30 capsules; will be shipped. Website to be updated.
1660,Broken supplement bottle in order.,Replacement bottle sent.
1661,Poor customer service in Liverpool store.,Issue reported; store manager notified.
1662,Positive feedback on delivery speed.,Positive feedback; no issue resolution needed.
1663,Voucher code not working for online booking.,Manually booked appointment.
1664,Product authenticity verification.,Product authenticity confirmed.
1665,Incorrect sale price charged.,Refund issued for price difference.
1666,Unable to log in to existing account.,Converted guest account to full account.
1667,Delayed order.,Order expedited; expected delivery in two days.
1668,Incorrect delivery address.,Order reshipped to correct address.
1669,App crashing on iPhone.,Update app or reinstall.
1670,Seeking multivitamin recommendation.,Recommended ABC Plus Multivitamin.
1671,Delayed package stuck in South African customs.,Sent customs documents; 10% discount offered.
1672,Missing promotional email.,Added email to newsletter list.
1673,Product recommendation and availability.,Product recommendation and stock confirmation.
1674,Felt pressured into unwanted purchases.,Return instructions emailed; feedback relayed to manager.
1675,Website checkout payment error.,Try a different card or payment method.
1676,Delayed goodwill points email.,Points added; email confirmation sent.
1677,Lack of noticeable results from collagen powder.,Lack of visible results after one month of use; advised to continue use for up to three months.
1678,Missing reward points.,Missing reward points added.
1679,Request for information on new vegan supplements.,Provided information on new vegan supplement range.
1680,Delayed vitamin order.,Order expedited.
1681,Gluten-free bread tasted odd.,Replacement bread sent.
1682,Express delivery delay.,Express delivery refund issued; order delayed.
1683,Lost order.,Lost order replaced.
1684,Request for organic baby food.,Feedback submitted; notification promised upon stocking organic baby food.
1685,Expressing appreciation for a discount.,Positive feedback; no issue.
1686,"Confusing ""Subscribe and Save"" delivery dates.",Delivery date synchronization issue resolved.
1687,Homophobic comment by staff member.,Investigation launched into homophobic comment by staff member.
1688,Request for organic baby lotion.,Feedback submitted; notification promised upon stocking organic baby lotion.
1689,Inaccurate product description.,Website description corrected; replacement product sent.
1690,Rewards points not applied to online purchase.,Points will be applied to next purchase.
1691,Authenticity verification of product.,Product authenticity confirmed.
1692,To commend excellent store service.,Positive feedback on Sheffield store staff.
1693,Lack of online usage instructions for vitamins.,Provided usage instructions for Vitamin D supplements.
1694,Late delivery of order HB112244.,Replacement order expedited.
1695,Incorrect order fulfillment.,"Wrong chocolate flavor sent; correct flavor sent, mint kept."
1696,Damaged delivery; missing item.,Replacement bottle sent.
1697,Unable to cancel dispatched order.,Order cancellation not possible; return for refund offered.
